Product,Price,Rating,Reviews,Link
"Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","₹26,990",4.0,"1,109",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQwMzQ2NTIyOTk3Mjc0OjE3NDMxMDA1MDY6c3BfYXRmOjMwMDE5MzkwOTY5NzAzMjo6MDo6&url=%2FAcer-Smartchoice-Premium-Windows-AL15-41%2Fdp%2FB0CWTSF1TK%2Fref%3Dsr_1_1_sspa%3Fcrid%3DW4U3VV61SVAS%26dib%3DeyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1743100506%26sprefix%3Dlaptop%252Caps%252C274%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Acer Aspire 3D 15 SpatialLabs Edition Gaming Laptop Intel Core i5-13420H Processor (16GB/512GB/NVIDIA RTX2050/Win11Home) A3D15-71GM, 39.6 cm(15.6"") UHD 3840 x 2160 IPS Display, Obsidian Black, 2.32KG","₹1,49,990",3.0,2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQwMzQ2NTIyOTk3Mjc0OjE3NDMxMDA1MDY6c3BfYXRmOjMwMDQ4NzU1OTgzODUzMjo6MDo6&url=%2FAcer-SpatialLabs-i5-13420H-Processor-A3D15-71GM%2Fdp%2FB0D8BPBZY1%2Fref%3Dsr_1_2_sspa%3Fcrid%3DW4U3VV61SVAS%26dib%3DeyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1743100506%26sprefix%3Dlaptop%252Caps%252C274%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lenovo IdeaPad Slim 1 Intel® Celeron® N4020 15.6 inch (39.6cm) Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home & Student 2024/1Yr ADP Free/Cloud Grey/1.54Kg), 82V700L2IN","₹24,990",4.4,52,https://www.amazon.in/Lenovo-IdeaPad-Celeron%C2%AE-Windows-82V700L2IN/dp/B0DWSZ4MD8/ref=sr_1_3?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-3
"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey","₹76,990",3.0,1,https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3C9ZHJZ/ref=sr_1_4?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-4
"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty","₹36,690",4.6,"6,546",https://www.amazon.in/Lenovo-V14-G3-i5-1235U-Ms-Office/dp/B0DYP1XGTC/ref=sr_1_5?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-5
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","₹62,990",3.3,6,https://aax-eu.amazon.in/x/c/JAgxGXfKNMktVXIAH-5P74cAAAGV2OLwnAMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAvW2XI/clv1_CEuOPUxokZA0iHrVccsA8S6ARyhqaeMLv5gu-2OJsf11138dnBT3SPw18HHz9hvVjq0yzpNb3X7OfU2LA3tVK2VRO3GWTtvISn8GaWh_FFjnAoZjxYgc6JJGZySDoB4I8xkbr4Br3LDDtb7dNJzdHJ36yMS3r641hZbX5BdUmX-UtL6LkRJjARjlbtq3aOlwWCpafMGZl51EXjYzZtRQYOURlsXukt89DgPXNqpanwYWpp5lh66uXA8vgUT9z1VAASW3cOTUuxUr2VFfIMlsc1HtNDCbuj33Nful-q-oa6AWBAeJ9-S-9Aqaewz2IraJgMsC--2yI6MS-eGrdtK7JNVY9_99dzgerr4ZgoGrfvA8gZp1C1jgv57DJvbl-SOL4o0/https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sxin_13_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&crid=W4U3VV61SVAS&cv_ct_cx=laptop&keywords=laptop&pd_rd_i=B08N5W4NNB&pd_rd_r=b6730317-c4ae-4275-87fa-35a81202c62d&pd_rd_w=E7sDX&pd_rd_wg=Cod3v&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=YNSJ66SKH3FHAXFE8MA3&qid=1743100506&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=laptop%2Caps%2C274&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","₹24,990",4.0,"1,109",https://www.amazon.in/Lenovo-Athlon-Laptop-Windows-Warranty/dp/B0872G2MPV/ref=sr_1_6?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-6
"Dᥱll Latitude E7470 Laptop 6th Gen InteI Core i5 Thin & Light (256 GB SSD|8 GB DDR4 RAM|14"" (35.6 cm)|Windows 11|MS Office|WiFi|BT|InteI HD Graphics (Rᥱfurbished)","₹15,395",4.2,84,https://www.amazon.in/Latitude-Laptop-Windows-Graphics-R%E1%A5%B1furbished/dp/B0F21XQRPR/ref=sr_1_7?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-7
"Acer Aspire Lite, AMD Ryzen 5 5625U Processor(16GB RAM/512GB SSD) Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Premium Metal Body, Thin and Light Laptop","₹32,990",4.0,9,https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_8?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-8
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN","₹41,990",4.0,488,https://www.amazon.in/Lenovo-V15-Antiglare-Lifetime-83CRA01SIN/dp/B0DDY1HWZL/ref=sr_1_9?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-9
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Win11 Home) AL15-41, 39.62 cm (15.6"") FHD Display, Metal Body, Multicolor Backlit Keyboard, Steel Gray, 1.59 KG","₹34,490",3.0,10,https://www.amazon.in/Acer-5-5625U-AL15-41-Multicolor-Keyboard/dp/B0DG2LSP9N/ref=sr_1_10?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-10
"Acer Aspire 3 Intel Core i3-1305U Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (8 GB RAM/512 GB SSD/WiFi 6/Intel Graphics/Win11 Home/65W) A324-53, Steel Gray, 1.45KG","₹31,988",4.0,85,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQwMzQ2NTIyOTk3Mjc0OjE3NDMxMDA1MDY6c3BfbXRmOjMwMDQzNzkzMDYzNDUzMjo6MDo6&url=%2FAcer-i3-1305U-Processor-LED-Backlit-A324-53%2Fdp%2FB0DMFBQ9MY%2Fref%3Dsr_1_11_sspa%3Fcrid%3DW4U3VV61SVAS%26dib%3DeyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1743100506%26sprefix%3Dlaptop%252Caps%252C274%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i3-1215U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Intel UHD Graphics/Windows 11/Office Home 2024/1Yr ADP Free/Arctic Grey/1.63Kg), 82RK01ABIN","₹35,200",3.3,16,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQwMzQ2NTIyOTk3Mjc0OjE3NDMxMDA1MDY6c3BfbXRmOjMwMDE1NjY0MTA3NDQzMjo6MDo6&url=%2FLenovo-IdeaPad-39-62cm-Warranty-82RK006DIN%2Fdp%2FB0B4JPC8GT%2Fref%3Dsr_1_12_sspa%3Fcrid%3DW4U3VV61SVAS%26dib%3DeyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1743100506%26sprefix%3Dlaptop%252Caps%252C274%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Lenovo V15 Intel Core i7 12th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1Y Onsite/1.7 kg), 82TTA08AIN","₹48,490",3.0,345,https://www.amazon.in/Lenovo-1920x1080-Antiglare-Windows-82TTA08AIN/dp/B0CJTRM3QW/ref=sr_1_13?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-13
"ASUS Vivobook 16, Intel Core i5-12500H, 16GB RAM, 512GB SSD, FHD+ 60Hz 300Nits, 16"", Windows 11, MS Office Home, Transparent Silver, 1.88KG, X1605ZAC-MB541WS, Fingerprint, 42Whr Battery Laptop","₹53,990",3.9,486,https://www.amazon.in/ASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS/dp/B0DGLCTZXX/ref=sr_1_14?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-14
"HP 255 G10 AMD Ryzen 5 Quad Core 7520U 2.8Ghz Upto 4.3Ghz - (8 GB/512 GB SSD) 255 G10 Thin and Light Laptop (15.6 inch, Matt Silver, 1.45 kg)","₹29,928",4.7,4,https://www.amazon.in/HP-Ryzen-7520U-2-8Ghz-4-3Ghz/dp/B0DS8Y725N/ref=sr_1_15?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-15
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue","₹12,990",3.0,20,https://www.amazon.in/JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=sr_1_16?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-16
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H 12th Gen, 16GB RAM, 512GB SSD, FHD 250Nits, 14""/35.5cm, Windows 11, MSOffice 21, Grey, 1.37Kg, 83EQ005VIN,1Yr Warranty,Alexa Built-in,3 mon. GamePass Laptop","₹52,390",4.0,"1,109",https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Warranty-83EQ005VIN/dp/B0D6MPVN7B/ref=sr_1_17?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-17
"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1315U - (8GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" (39.62cm)/Ash Grey/1.57 kg","₹31,460",3.9,"1,064",https://www.amazon.in/HP-Laptop-250R-Intel-1315U/dp/B0DKGBYGKQ/ref=sr_1_18?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-18
"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue","₹17,990",3.3,3,https://www.amazon.in/Acer-Celeron-Windows-Laptop-Z8-284/dp/B0CHRNQBCR/ref=sr_1_19?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-19
"Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","₹26,990",4.6,"6,546",https://www.amazon.in/Acer-Smartchoice-Premium-Windows-AL15-41/dp/B0CWTSF1TK/ref=sr_1_20?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-20
